R1,R2,R3,Rmax1,Rmax2,Rmax3,Rmax1-R1,Rmax2-R2,Rmax3-R3,(Rmax1-R1)/Rmax1,(Rmax2-R2)/Rmax2,(Rmax3-R3)/Rmax3,(Rmax1-R1)/Rmax1*100,(Rmax2-R2)/Rmax2*100,(Rmax3-R3)/Rmax3*100
273450.094,375338.594,331761.438,439861.43799999997,546426.687,511025.469,166411.34399999998,171088.09300000005,179264.03099999996,0.3783267402495056,0.3131034721955299,0.35079275275808214,37.832674024950556,31.31034721955299,35.079275275808214
276405.469,383201.844,336508.125,439861.43799999997,546426.687,511025.469,163455.96899999998,163224.84300000005,174517.34399999998,0.3716078630198085,0.29871316113079965,0.34150420005778614,37.16078630198085,29.871316113079967,34.150420005778614
268521.781,386943.969,348603.5,439861.43799999997,546426.687,511025.469,171339.65699999995,159482.71800000005,162421.96899999998,0.3895309799810184,0.2918648041800346,0.3178353699627444,38.95309799810184,29.18648041800346,31.783536996274442
270682.75,389059.156,343066.656,439861.43799999997,546426.687,511025.469,169178.68799999997,157367.53100000002,167958.81299999997,0.3846181396787958,0.2879938603730751,0.3286701410962356,38.461813967879586,28.79938603730751,32.86701410962356
269090.75,390299.125,347646.906,439861.43799999997,546426.687,511025.469,170770.68799999997,156127.56200000003,163378.56299999997,0.3882374612707013,0.2857246282336134,0.3197072805778296,38.82374612707013,28.572462823361338,31.97072805778296
261753.828,387250.125,343968.469,439861.43799999997,546426.687,511025.469,178107.60999999996,159176.56200000003,167057.0,0.40491753678120784,0.2913045167576159,0.32690542866073863,40.49175367812079,29.130451675761588,32.69054286607386
263313.969,361411.875,347860.625,439861.43799999997,546426.687,511025.469,176547.46899999998,185014.81200000003,163164.84399999998,0.40137064481656154,0.33859036610340376,0.31928906463172774,40.137064481656154,33.859036610340375,31.928906463172773
262994.625,391976.5,363277.375,439861.43799999997,546426.687,511025.469,176866.81299999997,154450.18700000003,147748.09399999998,0.4020966552653338,0.28265491176495194,0.2891208030964108,40.20966552653338,28.265491176495196,28.91208030964108
258852.516,361525.625,356927.594,439861.43799999997,546426.687,511025.469,181008.92199999996,184901.06200000003,154097.875,0.41151350485058885,0.33838219545086023,0.30154636969767157,41.151350485058884,33.83821954508603,30.154636969767157
259081.78100000002,391574.344,363570.06200000003,439861.43799999997,546426.687,511025.469,180779.65699999995,154852.34300000005,147455.40699999995,0.41099228389281983,0.2833908860677591,0.2885480586487167,41.09922838928198,28.33908860677591,28.85480586487167
263151.656,364419.25,364564.344,439861.43799999997,546426.687,511025.469,176709.78199999995,182007.43700000003,146461.125,0.40173965420446783,0.3330866543126947,0.2866023982847712,40.173965420446784,33.30866543126947,28.660239828477117
263074.125,393573.875,366876.844,439861.43799999997,546426.687,511025.469,176787.31299999997,152852.81200000003,144148.625,0.4019159165300596,0.27973160102994754,0.28207718351509403,40.19159165300596,27.973160102994754,28.207718351509403
265391.719,362752.5,354469.625,439861.43799999997,546426.687,511025.469,174469.71899999998,183674.18700000003,156555.84399999998,0.3966469981849148,0.3361369262698548,0.30635624542619416,39.66469981849148,33.61369262698548,30.635624542619418
263391.312,365582.81299999997,354569.906,439861.43799999997,546426.687,511025.469,176470.126,180843.87400000007,156455.56299999997,0.4011948098982935,0.3309572506293055,0.306160010588435,40.11948098982935,33.09572506293055,30.6160010588435
266662.937,366070.0,368747.031,439861.43799999997,546426.687,511025.469,173198.501,180356.68700000003,142278.43799999997,0.39375695625311896,0.330065663502266,0.2784175087758688,39.3756956253119,33.0065663502266,27.84175087758688
265689.719,368093.75,354097.31200000003,439861.43799999997,546426.687,511025.469,174171.71899999998,178332.93700000003,156928.15699999995,0.395969512108038,0.3263620559586615,0.30708480598253696,39.5969512108038,32.63620559586615,30.708480598253697
252584.813,367580.969,364150.031,439861.43799999997,546426.687,511025.469,187276.62499999997,178845.71800000005,146875.43799999997,0.42576277168447757,0.3273004819400412,0.2874131465255795,42.57627716844776,32.73004819400412,28.741314652557946
264578.781,392922.406,361366.31299999997,439861.43799999997,546426.687,511025.469,175282.65699999995,153504.28100000002,149659.15600000002,0.39849516656197526,0.2809238359911949,0.29286046406426763,39.84951665619752,28.09238359911949,29.286046406426763
250953.016,365476.469,355973.156,439861.43799999997,546426.687,511025.469,188908.42199999996,180950.21800000005,155052.31299999997,0.42947256949585105,0.3311518677710557,0.30341406134495413,42.9472569495851,33.11518677710557,30.341406134495415
257935.563,395455.06299999997,370056.0,439861.43799999997,546426.687,511025.469,181925.87499999997,150971.62400000007,140969.46899999998,0.4135981454232412,0.27628889216386326,0.27585605327236634,41.359814542324116,27.628889216386327,27.585605327236635
257218.65600000002,397102.56200000003,366007.031,439861.43799999997,546426.687,511025.469,182642.78199999995,149324.125,145018.43799999997,0.4152279927753066,0.2732738509164359,0.2837792767624268,41.52279927753066,27.327385091643592,28.37792767624268
252289.203,366745.281,367914.531,439861.43799999997,546426.687,511025.469,187572.23499999996,179681.40600000002,143110.93799999997,0.42643482423208,0.32882985087439554,0.2800465860929526,42.643482423208,32.88298508743955,28.00465860929526
259853.71899999998,372867.43799999997,356756.18799999997,439861.43799999997,546426.687,511025.469,180007.71899999998,173559.24900000007,154269.28100000002,0.40923732668741014,0.31762586478504123,0.3018817854653738,40.92373266874102,31.762586478504122,30.18817854653738
255359.53100000002,385255.469,373493.31299999997,439861.43799999997,546426.687,511025.469,184501.90699999995,161171.21800000005,137532.15600000002,0.41945460788494937,0.29495488019603266,0.2691297485996731,41.945460788494934,29.495488019603265,26.91297485996731
258357.766,368318.875,361561.56299999997,439861.43799999997,546426.687,511025.469,181503.67199999996,178107.81200000003,149463.90600000002,0.41263829087922904,0.3259500610737924,0.29247838917398467,41.26382908792291,32.595006107379234,29.247838917398468
