R1,R2,R3
3154.10522,2439.74292,4009.32788
3162.12891,2442.54834,4017.39282
3162.87744,2435.92822,4002.6936
3160.40942,2441.04199,4018.22705
3166.99707,2444.44019,4019.67871
3160.26953,2447.3772,4012.75879
3167.7771,2436.86304,4010.22632
3164.11279,2437.00415,4017.91431
3155.6333,2437.07275,4009.95093
3163.56323,2447.45142,4017.84351
3160.60352,2443.24268,4020.30273
3166.9209,2444.49414,4011.70044
3167.44165,2447.23682,4018.68896
3166.83838,2447.74976,4014.64893
3161.43384,2447.52417,4018.76416
3160.95483,2439.04272,4011.72852
3157.40527,2446.83984,4014.0105
3156.97217,2437.05176,4015.59814
3165.96143,2445.70532,4006.21875
3162.18921,2443.99854,4011.99634
3164.23853,2447.96094,4007.97974
3166.70508,2436.73315,4018.40479
3157.19165,2437.87183,4015.74805
3161.76465,2446.49707,4022.09961
3156.81982,2441.53784,4018.33936
3170.22803,2444.09424,4005.20532
3167.13232,2443.73315,4017.28809
3167.61621,2440.40527,4021.01587
3155.71094,2440.47339,4007.04834
3163.0271,2444.87671,4018.07227
3161.09839,2437.38208,4007.69507
3168.979,2441.94312,4005.89307
3160.16602,2437.47803,4018.83276
3165.48218,2437.3479,4008.10449
3170.70923,2447.67407,4005.88745
3157.28931,2442.32739,4019.83667
3158.73999,2442.78979,4017.9834
3158.75391,2439.11572,4006.33496
3168.54688,2448.01587,4023.14893
3170.74072,2449.72461,4006.81909
3164.7998,2441.11157,4021.06567
3156.48486,2439.06519,4020.58008
3169.57202,2441.3291,4021.44751
3168.45361,2447.82813,4019.74097
3168.80981,2448.52319,4007.34985
3169.18335,2439.31299,4007.65723
3169.76611,2441.51953,4014.08325
3169.67773,2448.77051,4022.03735
3158.43091,2444.93872,4016.91357
3161.67773,2441.49976,4022.16333
3158.58154,2450.52271,4023.06763
3160.30811,2445.95386,4015.32617
3161.43945,2445.44629,4023.58521
3161.03784,2440.0459,4008.83667
3162.91382,2442.23364,4021.67871
3162.87866,2448.00049,4022.03076
3158.52905,2440.19409,4012.77417
3163.37622,2445.39941,4019.94507
3164.99805,2439.34692,4024.00342
3171.0498,2450.99609,4019.28467
3171.39429,2442.44678,4016.22827
3166.86548,2449.09399,4009.69629
3163.87012,2450.26367,4009.98999
3158.25635,2439.47021,4012.1814
3165.4917,2442.354,4010.1377
3170.86133,2450.44409,4024.65381
3171.54736,2450.39575,4010.6582
3168.19287,2440.7063,4025.93579
3159.85376,2440.70093,4023.83936
3171.43604,2440.9292,4015.71411
3161.24414,2440.94336,4024.92407
3171.25586,2441.25586,4009.17456
3161.88818,2450.70483,4014.70654
3162.37939,2444.33276,4024.89819
3172.33911,2450.88623,4016.31812
3172.2041,2447.39014,4020.30225
3164.03296,2444.25122,4016.61182
3163.84229,2446.48535,4025.17114
3159.36548,2441.45483,4013.4585
3160.09131,2442.05835,4018.69165
3167.02368,2447.68433,4011.51367
3173.03687,2452.37598,4015.29492
3166.46216,2442.23877,4011.32617
3173.92871,2446.2937,4015.23022
3174.48462,2445.59595,4020.26245
3163.97632,2452.16211,4012.66943
3160.65015,2442.10083,4026.0542
3173.71021,2452.14258,4026.16699
3166.77612,2451.41919,4025.78345
3161.64478,2449.823,4020.2749
3168.79736,2444.50342,4023.5332
3168.68945,2447.43604,4013.59033
3173.29419,2451.10449,4021.18457
3168.70996,2452.94116,4027.46582
3170.59375,2448.84424,4019.31714
3165.27832,2451.29517,4027.39087
3166.43115,2445.00928,4028.59863
3175.09302,2443.93433,4023.95459
3166.24536,2444.86035,4018.77759
3172.78931,2441.13232,4027.54565
3174.22559,2446.81104,4018.24438
3164.94434,2442.10376,4011.67944
3162.84424,2446.41626,4018.17383
3170.7439,2450.91919,4023.22925
3171.39429,2442.43481,4023.05298
3176.13672,2441.82178,4014.90869
3163.67578,2446.8562,4020.00342
3168.77783,2450.40088,4027.5437
3171.10815,2446.12866,4023.14844
3169.55347,2447.89893,4021.66431
3175.21216,2452.22412,4027.52441
3164.22607,2445.4397,4026.90698
3165.94556,2444.73926,4016.6123
3170.78345,2452.78687,4028.75391
3163.88623,2446.98462,4029.67261
3169.1665,2446.33496,4021.63184
3167.45239,2443.47095,4028.92822
3175.39209,2454.19067,4022.95654
3175.63672,2443.76416,4019.28101
3170.02417,2449.16943,4020.80029
3175.49683,2453.53857,4013.56885
3176.88013,2454.88599,4020.70947
3170.05225,2449.59741,4018.94897
3171.25122,2445.90039,4015.49341
3175.58984,2454.41992,4029.45581
