resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
24125.4844,0,3.5,88435.5234,0.295,72463.0391,0.595,No3_3.5
25279.5449,0.915,3.5,87714.5313,1.216,67544.2344,1.522,No3_3.5
25267.0684,1.833,3.5,89495.7109,2.168,69257.9609,2.485,No3_3.5
24698.5059,2.775,3.5,88203.7422,3.093,68610.0938,3.428,No3_3.5
25449.375,3.746,3.5,89875.8828,4.045,68327.5547,4.358,No3_3.5
25200.6289,4.686,3.5,88040.625,5.012,67139.5781,5.312,No3_3.5
24884.8242,5.612,3.5,89231.6016,5.944,67131.6172,6.27,No3_3.5
24945.1523,6.563,3.5,89745.5156,6.88,67639.7266,7.201,No3_3.5
25032.7871,7.528,3.5,89950.8125,7.828,68431.1094,8.135,No3_3.5
25014.6445,8.445,3.5,90057.1563,8.783,67326.6562,9.101,No3_3.5
25167.8203,9.393,3.5,91083.2812,9.709,68997.6406,10.048,No3_3.5
24879.7305,10.377,3.5,89432.5859,10.676,67110.6016,10.99,No3_3.5
25022.0098,11.315,3.5,91631.3516,11.643,68083.1875,11.945,No3_3.5
25240.1035,12.244,3.5,92207.4609,12.578,66821.75,12.907,No3_3.5
24862.7734,13.228,3.5,89284.0078,13.525,69436.7812,13.835,No3_3.5
25640.6035,14.175,3.5,92025.9844,14.493,68842.1484,14.794,No3_3.5
24857.3711,15.098,3.5,90224.7109,15.437,69194.1797,15.766,No3_3.5
24775.6113,16.057,3.5,91085.0859,16.37,69246.9687,16.704,No3_3.5
24830.748,17.034,3.5,89638.0156,17.353,67144.4375,17.654,No3_3.5
25670.1074,17.959,3.5,92696.2891,18.298,66797.0391,18.627,No3_3.5
25133.6934,18.924,3.5,90720.3984,19.231,66818.4375,19.565,No3_3.5
25762.1484,19.894,3.5,92451.6328,20.195,67199.6484,20.5,No3_3.5
25354.1973,20.828,3.5,91478.9063,21.157,67283.2109,21.476,No3_3.5
25728.0293,21.768,3.5,92703.8437,22.089,68943.9375,22.428,No3_3.5
25784.9043,22.747,3.5,92201.5859,23.043,66043.5234,23.355,No3_3.5
24958.8496,23.695,3.5,90349.5937,24.013,65809.6172,24.311,No3_3.5
25712.7187,24.618,3.5,92987.1094,24.957,66679.9531,25.286,No3_3.5
25726.4609,25.578,3.5,92140.2656,25.892,66224.3281,26.226,No3_3.5
25732.1875,26.555,3.5,92673.0234,26.875,67549.1406,27.176,No3_3.5
24864.4902,27.48,3.5,90781.2188,27.819,68268.7031,28.148,No3_3.5
25033.8203,28.44,3.5,90862.0469,28.753,68458.7344,29.087,No3_3.5
24925.5371,29.416,3.5,90951.1406,29.717,67644.5938,30.021,No3_3.5
24839.8848,30.351,3.5,93308.8203,30.68,67545.9766,31.001,No3_3.5
25145.793,31.292,3.5,91285.3906,31.61,66398.2031,31.949,No3_3.5
25434.8145,32.279,3.5,90658.7188,32.582,67216.0312,32.897,No3_3.5
25287.2207,33.217,3.5,92209.1953,33.546,68090.5,33.848,No3_3.5
25796.9727,34.148,3.5,92038.1484,34.483,66762.4453,34.812,No3_3.5
25012.3633,35.133,3.5,90528.9766,35.437,68569.1719,35.742,No3_3.5
25259.502,36.077,3.5,91511.8203,36.406,67006.9453,36.705,No3_3.5
25431.4199,37.016,3.5,91893.0938,37.344,67807.2578,37.674,No3_3.5
25837.0039,37.996,3.5,92373.6172,38.292,66129.0078,38.602,No3_3.5
24929.9082,38.942,3.5,93515.75,39.271,67513.6484,39.573,No3_3.5
25774.1035,39.87,3.5,94412.0781,40.21,65436.0195,40.539,No3_3.5
25272.7344,40.833,3.5,93780.9609,41.147,65828.1094,41.477,No3_3.5
25835.3477,41.805,3.5,93726.2656,42.124,66716.8125,42.428,No3_3.5
25352.8672,42.727,3.5,92665.3359,43.065,67097.2109,43.383,No3_3.5
25377.5,43.674,3.5,92188.9688,43.992,66507.6094,44.331,No3_3.5
25324.4316,44.65,3.5,92295.4609,44.951,65730.9609,45.262,No3_3.5
25539.3301,45.596,3.5,93224.1719,45.914,67802.4844,46.213,No3_3.5
25070.1348,46.517,3.5,92625.0547,46.854,67079.6406,47.172,No3_3.5
25477.7871,47.463,3.5,93057.5547,47.782,66948.2656,48.119,No3_3.5
25311.9043,48.438,3.5,93120.2266,48.739,67434.7656,49.043,No3_3.5
25524.6016,49.377,3.5,92218.3516,49.694,66688.9531,49.994,No3_3.5
25843.8926,50.298,3.5,93762.5547,50.636,67784.7891,50.954,No3_3.5
24851.0215,51.245,3.5,91329.4375,51.563,66596.375,51.901,No3_3.5
24997.8066,52.22,3.5,91023.1484,52.522,67222.6016,52.836,No3_3.5
25021.5742,53.161,3.5,93851.4375,53.489,68739.2266,53.786,No3_3.5
24977.6191,54.095,3.5,93553.1719,54.422,67485.8125,54.75,No3_3.5
24966.0605,55.051,3.5,93537.7266,55.359,69069.1484,55.683,No3_3.5
25007.1934,56.011,3.5,91814.7109,56.31,68789.6016,56.618,No3_3.5
25034.0059,56.926,3.5,92856,57.263,67022.8203,57.583,No3_3.5
